site,latitude,longitude,visit,date,month,wet_season,tot_traps,n_catch,n_Mna,n_Rra,n_Mer,n_Mma,n_Pda,n_Pro,Mna_per_trap,Rra_per_trap,Rra_at_site,Mer_at_site,Mma_at_site,Pda_at_site,Pro_at_site,n_Mna_neg_lassa,n_Mna_pos_lassa,n_Mna_tested_lassa,data_source
Badala,9.319729409561736,-11.540764070520316,1,2019-09-09,9,1,84,2,0,2,0,0,0,0,0,0.023809523809523808,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,2,2019-11-09,11,0,81,3,0,3,0,0,0,0,0,0.037037037037037035,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,3,2020-01-11,1,0,83,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,PREEMPT
Badala,9.319729409561736,-11.540764070520316,4,2020-03-05,3,0,53,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,1,2019-09-07,9,1,272,63,55,0,0,0,2,0,0.20220588235294118,0,0,1,0,1,1,49,6,55,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,2,2019-11-05,11,0,214,58,57,0,0,0,0,0,0.26635514018691586,0,0,1,0,1,1,56,1,57,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,3,2020-01-08,1,0,120,14,14,0,0,0,0,0,0.11666666666666667,0,0,1,0,1,1,14,0,14,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,4,2020-03-02,3,0,173,29,29,0,0,0,0,0,0.1676300578034682,0,0,1,0,1,1,29,0,29,PREEMPT
Bafodia,9.683164616679528,-11.733040802401746,5,2020-12-02,12,0,58,10,10,0,0,0,0,0,0.1724137931034483,0,0,1,0,1,1,10,0,10,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,1,2019-07-12,7,1,58,1,1,0,0,0,0,0,0.017241379310344827,0,1,1,0,0,0,1,0,1,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,2,2019-10-09,10,1,42,1,0,1,0,0,0,0,0,0.023809523809523808,1,1,0,0,0,0,0,0,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,3,2019-12-12,12,0,60,1,1,0,0,0,0,0,0.016666666666666666,0,1,1,0,0,0,1,0,1,PREEMPT
Barlie,8.019789811304502,-11.584217435203092,4,2020-02-05,2,0,60,2,0,2,0,0,0,0,0,0.03333333333333333,1,1,0,0,0,0,0,0,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,1,2019-07-10,7,1,82,3,3,0,0,0,0,0,0.036585365853658534,0,1,0,0,0,0,3,0,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,2,2019-10-13,10,1,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,3,2019-12-14,12,0,90,3,3,0,0,0,0,0,0.03333333333333333,0,1,0,0,0,0,3,0,3,PREEMPT
Benduma,8.025988093218489,-11.5215033551764,4,2020-02-07,2,0,84,3,2,1,0,0,0,0,0.023809523809523808,0.011904761904761904,1,0,0,0,0,2,0,2,PREEMPT
Gbainkfay,9.298792228749834,-12.256579280914396,5,2021-01-13,1,0,72,9,0,9,0,0,0,0,0,0.125,1,1,0,1,1,0,0,0,PREEMPT
Gbenikoro,9.62299969233059,-11.4718678469135,1,2019-08-30,8,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,1,2019-08-17,8,1,72,9,0,9,0,0,0,0,0,0.125,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,2,2019-10-22,10,1,72,3,0,2,0,0,0,1,0,0.027777777777777776,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,3,2019-12-18,12,0,72,3,0,2,0,0,0,1,0,0.027777777777777776,1,0,0,0,1,0,0,0,PREEMPT
Guala,8.124279286783235,-11.235621660915578,4,2020-02-20,2,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,1,2019-07-30,7,1,60,5,0,4,0,0,0,0,0,0.06666666666666667,1,1,0,0,0,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,2,2019-10-01,10,1,72,2,1,1,0,0,0,0,0.013888888888888888,0.013888888888888888,1,1,0,0,0,0,1,1,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,3,2019-12-05,12,0,72,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,PREEMPT
Kapethe,8.9862061417923,-11.982410632675997,4,2020-01-20,1,0,58,2,0,2,0,0,0,0,0,0.034482758620689655,1,1,0,0,0,0,0,0,PREEMPT
Largo,8.051547331161421,-11.103385534172824,1,2019-07-15,7,1,144,4,3,0,0,0,0,0,0.020833333333333332,0,1,1,0,0,0,3,0,3,PREEMPT
Largo,8.051547331161421,-11.103385534172824,2,2019-10-26,10,1,132,8,7,1,0,0,0,0,0.05303030303030303,0.007575757575757576,1,1,0,0,0,5,2,7,PREEMPT
Largo,8.051547331161421,-11.103385534172824,3,2019-12-16,12,0,90,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,PREEMPT
Largo,8.051547331161421,-11.103385534172824,4,2020-02-18,2,0,120,4,3,1,0,0,0,0,0.025,0.008333333333333333,1,1,0,0,0,2,1,3,PREEMPT
Makump,8.805581045422798,-12.03982493380907,1,2019-08-01,8,1,27,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,1,2019-08-03,8,1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,2,2019-10-03,10,1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
Makuna,8.748832258264692,-11.984298413011164,3,2019-12-06,12,0,36,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,PREEMPT
