site,date,species,animal_id,indoor_outdoor,nucleoprotein_accession
Gbetaya,3-May,Mastomys natalensis,129,indoor,KP339050
Gbetaya,3-May,Mastomys natalensis,132,indoor,KP339051
Gbetaya,3-May,Mastomys natalensis,148,indoor,KP339052
Gbetaya,3-May,Mastomys natalensis,153,outdoor,KP339053
Gbetaya,3-May,Mastomys natalensis,170,indoor,KP339054
Bantou,3-May,Mastomys natalensis,185,outdoor,KP339055
Bantou,3-Oct,Mastomys natalensis,263,indoor,KP339056
Bantou,3-Oct,Mastomys natalensis,289,indoor,KP339057
Bantou,3-Oct,Mastomys natalensis,302,indoor,KP339058
Bantou,3-Oct,Mastomys natalensis,350,outdoor,KP339059
Bantou,3-Oct,Mastomys natalensis,353,outdoor,KP339060
Bantou,3-Oct,Mastomys natalensis,354,outdoor,KP339061
Bantou,3-Oct,Mastomys natalensis,356,outdoor,KP339062 
Bantou,3-Oct,Mastomys natalensis,366,outdoor,KP339063
Bantou,3-Oct,Mastomys natalensis,375,outdoor,KP339064 
Bantou,3-Oct,Mastomys natalensis,377,outdoor,KP339065
Bantou,3-Oct,Mastomys natalensis,378,outdoor,KP339066 
Bantou,3-Oct,Mastomys natalensis,382,outdoor,KP339067
Bantou,3-Oct,Mastomys natalensis,384,outdoor,KP339068
Bantou,3-Oct,Mastomys natalensis,390,outdoor,KP339069 
Bantou,3-Oct,Mastomys natalensis,394,outdoor,
Bantou,3-Oct,Mastomys natalensis,396,outdoor,KP339070
Tanganya,3-Oct,Mastomys natalensis,409,indoor,
Tanganya,3-Oct,Mastomys natalensis,416,indoor,KP339071
Tanganya,3-Oct,Mastomys natalensis,417,indoor,KP339072
Tanganya,3-Oct,Mastomys natalensis,425,outdoor,KP339073
Tanganya,3-Oct,Mastomys natalensis,431,indoor,KP339074
Tanganya,3-Oct,Mastomys natalensis,444,indoor,KP339075
Tanganya,3-Oct,Mastomys natalensis,449,outdoor,
Tanganya,3-Oct,Mastomys natalensis,462,indoor,KP339076
Tanganya,3-Oct,Mastomys natalensis,464,indoor,KP339077
Tanganya,3-Oct,Mastomys natalensis,471,outdoor,KP339078
Tanganya,3-Oct,Mastomys natalensis,491,outdoor,KP339079
Tanganya,3-Oct,Mastomys natalensis,497,outdoor,KP339080
Bantou,4-Jan,Mastomys natalensis,686,indoor,KP339081
Bantou,4-Jan,Mastomys natalensis,717,indoor,KP339082
Tanganya,4-Jan,Mastomys natalensis,813,indoor,KP339083
Tanganya,4-Jan,Mastomys natalensis,817,indoor,KP339084 
Tanganya,4-Jan,Mastomys natalensis,820,indoor,KP339085
Tanganya,4-Jan,Mastomys natalensis,846,indoor,KP339086
Bantou,4-May,Mastomys natalensis,903,indoor,KP339087
Bantou,4-May,Mastomys natalensis,909,indoor,KP339088
Bantou,4-May,Mastomys natalensis,934,indoor,
Bantou,4-May,Mastomys natalensis,936,indoor,KP339089
Bantou,4-May,Mastomys natalensis,939,indoor,KP339090
Bantou,4-May,Mastomys natalensis,959,outdoor,KP339091
Bantou,4-May,Mastomys natalensis,961,outdoor,
Bantou,4-May,Mastomys natalensis,966,outdoor,KP339092
Bantou,4-May,Mastomys natalensis,987,indoor,KP339093
Bantou,4-May,Mastomys natalensis,991,outdoor,KP339094 
Tanganya,4-May,Mastomys natalensis,1007,indoor,KP339095 
Tanganya,4-May,Mastomys natalensis,1008,indoor,KP339096
Tanganya,4-May,Mastomys natalensis,1010,indoor,KP339097
Tanganya,4-May,Mastomys natalensis,1011,indoor,KP339098 
Tanganya,4-May,Mastomys natalensis,1033,indoor,KP339099
Tanganya,4-May,Mastomys natalensis,1034,indoor,KP339100
Tanganya,4-May,Mastomys natalensis,1066,outdoor,KP339101
Tanganya,4-May,Mastomys natalensis,1072,indoor,
Tanganya,4-May,Mastomys natalensis,1074,indoor,KP339102
Bantou,4-Oct,Mastomys natalensis,1188,indoor,
Bantou,4-Oct,Mastomys natalensis,1198,outdoor,KP339103
Bantou,4-Oct,Mastomys natalensis,1207,indoor,KP339104
Bantou,4-Oct,Mastomys natalensis,1210,indoor,KP339105
Bantou,4-Oct,Mastomys natalensis,1225,outdoor,
Bantou,4-Oct,Mastomys natalensis,1239,indoor,
Bantou,4-Oct,Mastomys natalensis,1240,indoor,KP339106 
Bantou,4-Oct,Mastomys natalensis,1241,indoor,KP339107
Bantou,4-Oct,Mastomys natalensis,1242,indoor,KP339108 
Bantou,4-Oct,Mastomys natalensis,1259,outdoor,KP339109
Tanganya,4-Oct,Mastomys natalensis,1276,indoor,KP339110
Tanganya,4-Oct,Mastomys natalensis,1299,indoor,
Tanganya,4-Oct,Mastomys natalensis,1310,outdoor,KP339111
Tanganya,5-Jan,Mastomys natalensis,1484,indoor,KP339112
Tanganya,5-Jan,Mastomys natalensis,1520,indoor,KP339113
Tanganya,5-Jan,Mastomys natalensis,1549,indoor,KP339114
Bantou,5-Jan,Mastomys natalensis,1586,indoor,KP339115
Bantou,5-Jan,Mastomys natalensis,1591,indoor,KP339116
Bantou,5-Jan,Mastomys natalensis,1605,indoor,KP339117
Bantou,5-Jan,Mastomys natalensis,1606,indoor,KP339118
Bantou,5-Jan,Mastomys natalensis,1645,indoor,KP339119
