"season","site_status","catch_per_trap"
"rainy season","Absent",0.01563506704415466
"rainy season","Absent",0.013995897892228298
"rainy season","Absent",0.014857479061688538
"rainy season","Absent",0.015524885909718497
"rainy season","Absent",0.021270885909056538
"rainy season","Absent",0.019442808893134447
"rainy season","Absent",0.020899333718858246
"rainy season","Absent",0.01979476440970588
"rainy season","Absent",0.025554445124224303
"rainy season","Absent",0.016756098456825227
"rainy season","Absent",0.030144674647999716
"rainy season","Absent",0.018645763814620835
"rainy season","Absent",0.009108192461183526
"rainy season","Absent",0.02139472248968005
"rainy season","Absent",0.029217103642669502
"rainy season","Absent",0.03127278651606026
"rainy season","Absent",0.007461647833125287
"rainy season","Absent",0.008136504612287024
"rainy season","Absent",0.006680957255357943
"rainy season","Absent",0.004881889214086538
"rainy season","Absent",0.0064250555649307504
"rainy season","Absent",0.006976708744412105
"rainy season","Absent",0.009283784526151898
"rainy season","Absent",0.007384803288366012
"rainy season","Absent",0.007658000964349286
"rainy season","Absent",0.010871789108438609
"rainy season","Absent",0.01639712933536318
"rainy season","Absent",0.05329444897737164
"rainy season","Absent",0.03480584313911447
"rainy season","Absent",0.0282073132373976
"rainy season","Absent",0.0364153824072938
"rainy season","Absent",0.0410590501860747
"rainy season","Absent",0.039235265755354985
"rainy season","Absent",0.04612588453014531
"rainy season","Absent",0.02881266879060999
"rainy season","Absent",0.012541607025931116
"rainy season","Absent",0.01385443335133184
"rainy season","Absent",0.008571401707030815
"rainy season","Absent",0.008777007156524333
"rainy season","Absent",0.011308439201646227
"rainy season","Absent",0.01354432010472793
"rainy season","Absent",0.014810074801091883
"rainy season","Absent",0.01963190951658715
"rainy season","Absent",0.03832875044664027
"rainy season","Absent",0.029291965956368612
"rainy season","Absent",0.03770301553730864
"rainy season","Absent",0.04197100316367826
"rainy season","Absent",0.03608601084370138
"rainy season","Absent",0.03411469667515218
"rainy season","Absent",0.03175465341915854
"rainy season","Absent",0.06605769844492217
"rainy season","Absent",0.07839209388612682
"rainy season","Absent",0.02828912850231031
"rainy season","Absent",0.032707724687534835
"rainy season","Absent",0.027335884209573016
"rainy season","Absent",0.020709225534512096
"rainy season","Absent",0.0139564208587032
"rainy season","Absent",0.013719693453134594
"rainy season","Absent",0.018487249513546668
"rainy season","Absent",0.02047763426269482
"rainy season","Absent",0.025863165603549593
"rainy season","Absent",0.017273720131061925
"rainy season","Absent",0.01253246251317563
"rainy season","Absent",0.02997752933931394
"rainy season","Absent",0.03078914765363576
"rainy season","Absent",0.025852369985652154
"rainy season","Absent",0.035930911837961786
"rainy season","Absent",0.024089953322185775
"rainy season","Absent",0.014709260758240599
"rainy season","Absent",0.009088973531466323
"rainy season","Absent",0.00530560749397086
"rainy season","Absent",0.005496394209582229
"rainy season","Absent",0.015517001270544274
"rainy season","Absent",0.05848996955755399
"rainy season","Absent",0.06518949126220357
"rainy season","Absent",0.004493308450068514
"rainy season","Absent",0.014374995576794827
"rainy season","Absent",0.004492989436493675
"rainy season","Absent",0.008812915174090068
"rainy season","Absent",0.004350706644774691
"rainy season","Absent",0.005613027745251478
"rainy season","Absent",0.002106473619507657
"rainy season","Absent",0.007270210741719293
"rainy season","Absent",0.005137590930238079
"rainy season","Absent",0.005187507228398885
"rainy season","Absent",0.00497241818930475
"rainy season","Absent",0.004412375819536442
"rainy season","Absent",0.0034836945362434414
"rainy season","Absent",0.00754619361352618
"rainy season","Absent",0.007125880368280267
"rainy season","Absent",0.004249108851636634
"rainy season","Absent",0.004980654354955201
"rainy season","Absent",0.005649207551682547
"rainy season","Absent",0.0047904496467124
"rainy season","Absent",0.006875955935030706
"rainy season","Absent",0.010793016223390649
"rainy season","Absent",0.013885682578708591
"rainy season","Absent",0.012621936332521741
"rainy season","Absent",0.013123759359010405
"rainy season","Absent",0.028096912053934147
"rainy season","Absent",0.02716515209668084
"rainy season","Absent",0.031180418293496926
"rainy season","Absent",0.024667245709799557
"rainy season","Absent",0.026543717189362378
"rainy season","Absent",0.010624634125623481
"rainy season","Absent",0.008534026406083002
"rainy season","Absent",0.007555292257662614
"rainy season","Absent",0.005066915647760672
"rainy season","Absent",0.00830238878637764
"rainy season","Absent",0.019652549569491775
"rainy season","Absent",0.02856974466360724
