"site","latitude","longitude","tot_traps","n_Mna","n_Mna_tested_lassa","n_Mna_neg_lassa","n_Mna_pos_lassa","data_source"
"Badala",9.319729409561736,-11.540764070520316,301,0,0,0,0,"PREEMPT"
"Bafodia",9.683164616679528,-11.733040802401746,837,165,165,163,2,"PREEMPT"
"Barlie",8.019789811304502,-11.584217435203092,220,2,2,2,0,"PREEMPT"
"Benduma",8.025988093218489,-11.5215033551764,316,8,8,8,0,"PREEMPT"
"Gbainkfay",9.298792228749834,-12.256579280914396,72,0,0,0,0,"PREEMPT"
"Gbenikoro",9.62299969233059,-11.4718678469135,18,0,0,0,0,"PREEMPT"
"Guala",8.124279286783235,-11.235621660915578,276,0,0,0,0,"PREEMPT"
"Kapethe",8.9862061417923,-11.982410632675997,262,1,1,0,1,"PREEMPT"
"Largo",8.051547331161421,-11.103385534172824,486,13,13,10,3,"PREEMPT"
"Makump",8.805581045422798,-12.03982493380907,27,0,0,0,0,"PREEMPT"
"Makuna",8.748832258264692,-11.984298413011164,120,0,0,0,0,"PREEMPT"
"Mokorie",8.207852394264012,-12.058048705581529,84,0,0,0,0,"PREEMPT"
"Naiawama",7.8694422230075105,-11.04104693769143,60,5,5,5,0,"PREEMPT"
"Njaguima",8.424344884832752,-11.642931353759266,84,0,0,0,0,"PREEMPT"
"Petema",7.747475128890135,-11.628258155737251,145,0,0,0,0,"PREEMPT"
"Talama",8.195003613146277,-11.12266698403304,120,6,6,6,0,"PREEMPT"
"Yekeyor",8.576877642939278,-10.878485814424144,156,1,1,1,0,"PREEMPT"
"Bamba",10.00055556,-13.885,169,0,0,0,0,"EFC"
"Bantou",10.054515147679323,-10.578665738396625,1651,243,220,200,20,"EFC"
"Gagal",11.088055555555556,-12.2975,470,11,11,11,0,"EFC"
"Gania",10.066557407407409,-12.539639814814814,900,0,0,0,0,"EFC"
"Gayebombo",10.132314814814816,-13.590833333333334,159,0,0,0,0,"EFC"
"Gbetaya",9.840833333333334,-11.04,275,41,41,37,4,"EFC"
"Kaali",9.930416666666666,-12.705972222222222,240,0,0,0,0,"EFC"
"Khoneya",10.14861111111111,-12.675833333333332,321,0,0,0,0,"EFC"
"Sangassou",8.61361111111111,-9.474166666666669,210,14,14,14,0,"EFC"
"Tanganya",10.000712298701298,-10.97318917748918,1507,168,152,131,21,"EFC"
"Yafraya",10.01194444,-13.67888889,102,0,0,0,0,"EFC"
